DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AL,2017,36.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AL,2018,35.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AL,2019,34.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AL,2020,33.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,1995,27,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,1996,26,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,1997,25,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,1998,24,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,1999,26,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2000,24,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2001,24,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2003,27.4,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2004,25.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2005,26.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2006,25.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2007,26.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2008,27.7,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2009,27.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2010,28.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2011,27.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2012,27.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2013,27.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2014,27.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2015,27.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,AT,2016,27.2,
