DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2012,5.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2013,5.7,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2014,6.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2015,6.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2016,6.5,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2017,5.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2018,5.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2019,4.8,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2020,6.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2021,6.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2012,7.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2013,8.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2014,8.7,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2015,8.7,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2016,7.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2017,7.2,b
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2018,6.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2019,5.5,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2020,5.8,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2021,6.3,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2012,13.3,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2013,13.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2014,12.4,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2015,10.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2016,8.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2017,7.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2018,6.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2019,5.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2020,6.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,BG,2021,5.3,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2012,11.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2013,15.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2014,16.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2015,15.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2016,13.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2017,11.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2018,8.4,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2019,7.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2020,7.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2021,7.5,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2012,7.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2013,7.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2014,6.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2015,5.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2016,4.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2017,2.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2018,2.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2019,2.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2020,2.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2021,2.8,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2012,5.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2013,5.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2014,4.7,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2015,4.4,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2016,3.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2017,3.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2018,3.2,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2019,3.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2020,3.7,b
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2021,3.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2012,7.8,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2013,7.4,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2014,6.9,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2015,6.3,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2016,6.0,b
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2017,5.8,b
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2018,5.1,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2019,5.0,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2020,5.6,
ESTAT:TIPSUN20(1.0),11/07/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2021,5.1,
