DATAFLOW,LAST UPDATE,freq,unit,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AL,2017,31.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AL,2018,29.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AL,2019,30.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2011,7.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2012,7.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2013,7.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2014,6.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2015,7.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2016,7.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2017,6.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2018,6.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2019,6.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,AT,2020,6.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2011,9.3,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2012,8.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2013,7.0,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2014,8.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2015,8.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2016,8.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2017,8.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2018,8.0,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2019,7.7,b
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BE,2020,7.4,b
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2011,36.3,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2012,34.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2013,37.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2014,37.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2015,36.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2016,36.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2017,36.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2018,34.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2019,32.3,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,BG,2020,29.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,CH,2011,6.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,CH,2012,6.3,
