DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2008,88,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2009,82,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2010,118,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2011,124,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2012,125,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2013,107,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2014,98,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2015,54,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2016,71,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2017,52,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2018,51,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2019,58,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AL,2020,52,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2008,58,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2009,51,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2010,61,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2011,80,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2012,88,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2013,63,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2014,43,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2015,42,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2016,49,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2017,61,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2018,73,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2019,74,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,AT,2020,54,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2008,66,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2009,67,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2010,54,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2011,49,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2012,60,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2013,46,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2014,49,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2015,56,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2016,42,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2017,34,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2018,36,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2019,37,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BA,2020,42,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BE,2008,204,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,BE,2009,189,
