DATAFLOW,LAST UPDATE,freq,unit,indic_il,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2011,14.5,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2012,14.4,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2013,14.4,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2014,14.1,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2015,13.9,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2016,14.1,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2017,14.4,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2018,14.3,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2019,13.3,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,AT,2020,13.9,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2011,15.3,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2012,15.3,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2013,15.1,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2014,15.5,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2015,14.9,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2016,15.5,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2017,15.9,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2018,16.4,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2019,14.8,b
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BE,2020,14.1,b
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2011,22.2,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2012,21.2,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2013,21.0,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2014,21.8,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2015,22.0,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2016,22.9,b
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2017,23.4,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2018,22.0,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2019,22.6,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,BG,2020,23.8,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2011,15.0,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2012,15.9,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2013,14.5,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2014,13.8,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2015,15.6,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2016,14.7,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2017,15.5,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2018,14.6,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CH,2019,16.0,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2011,14.8,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2012,14.7,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2013,15.3,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2014,14.4,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2015,16.2,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2016,16.1,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2017,15.7,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2018,15.4,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2019,14.7,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CY,2020,14.3,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2011,9.8,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2012,9.6,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2013,8.6,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2014,9.7,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2015,9.7,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2016,9.7,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2017,9.1,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2018,9.6,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2019,10.1,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,CZ,2020,9.5,
ESTAT:ILC_LI02(1.0),19/11/21 23:00:00,A,PC,LI_R_MD60,T,TOTAL,DE,2011,15.8,
