DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2008,101,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2009,113,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2010,96,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2011,84,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2012,82,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2013,89,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2014,109,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2015,121,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2016,97,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2017,93,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2018,109,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2019,86,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AL,2020,57,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2008,396,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2009,460,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2010,516,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2011,564,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2012,568,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2013,538,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2014,501,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2015,498,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2016,481,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2017,508,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2018,555,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2019,600,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,AT,2020,544,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BA,2010,60,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BA,2011,38,
ESTAT:CRIM_PRIS_AGE(1.0),08/06/22 11:00:00,A,ADULT,F,NR,BA,2013,56,
